,시군구명,행정동코드,행정동명,법정동코드,법정동명,연령별,행정동단위 거주인구,법정동단위 거주인구
0,종로구,1111051500,청운효자동,1111010100,청운동,10대,1135,113.5
1,종로구,1111051500,청운효자동,1111010100,청운동,10대 미만,696,69.6
2,종로구,1111051500,청운효자동,1111010100,청운동,20대,1501,150.1
3,종로구,1111051500,청운효자동,1111010100,청운동,30대,1538,153.8
4,종로구,1111051500,청운효자동,1111010100,청운동,40대,2072,207.2
5,종로구,1111051500,청운효자동,1111010100,청운동,50대,1905,190.5
6,종로구,1111051500,청운효자동,1111010100,청운동,60대,1405,140.5
7,종로구,1111051500,청운효자동,1111010100,청운동,70대 이상,1551,155.1
8,종로구,1111051500,청운효자동,1111010200,신교동,10대,1135,113.5
9,종로구,1111051500,청운효자동,1111010200,신교동,10대 미만,696,69.6
10,종로구,1111051500,청운효자동,1111010200,신교동,20대,1501,150.1
11,종로구,1111051500,청운효자동,1111010200,신교동,30대,1538,153.8
12,종로구,1111051500,청운효자동,1111010200,신교동,40대,2072,207.2
13,종로구,1111051500,청운효자동,1111010200,신교동,50대,1905,190.5
14,종로구,1111051500,청운효자동,1111010200,신교동,60대,1405,140.5
15,종로구,1111051500,청운효자동,1111010200,신교동,70대 이상,1551,155.1
16,종로구,1111051500,청운효자동,1111010300,궁정동,10대,1135,113.5
17,종로구,1111051500,청운효자동,1111010300,궁정동,10대 미만,696,69.6
18,종로구,1111051500,청운효자동,1111010300,궁정동,20대,1501,150.1
19,종로구,1111051500,청운효자동,1111010300,궁정동,30대,1538,153.8
20,종로구,1111051500,청운효자동,1111010300,궁정동,40대,2072,207.2
21,종로구,1111051500,청운효자동,1111010300,궁정동,50대,1905,190.5
22,종로구,1111051500,청운효자동,1111010300,궁정동,60대,1405,140.5
23,종로구,1111051500,청운효자동,1111010300,궁정동,70대 이상,1551,155.1
24,종로구,1111051500,청운효자동,1111010400,효자동,10대,1135,113.5
25,종로구,1111051500,청운효자동,1111010400,효자동,10대 미만,696,69.6
26,종로구,1111051500,청운효자동,1111010400,효자동,20대,1501,150.1
27,종로구,1111051500,청운효자동,1111010400,효자동,30대,1538,153.8
28,종로구,1111051500,청운효자동,1111010400,효자동,40대,2072,207.2
29,종로구,1111051500,청운효자동,1111010400,효자동,50대,1905,190.5
30,종로구,1111051500,청운효자동,1111010400,효자동,60대,1405,140.5
31,종로구,1111051500,청운효자동,1111010400,효자동,70대 이상,1551,155.1
32,종로구,1111051500,청운효자동,1111010500,창성동,10대,1135,113.5
33,종로구,1111051500,청운효자동,1111010500,창성동,10대 미만,696,69.6
34,종로구,1111051500,청운효자동,1111010500,창성동,20대,1501,150.1
35,종로구,1111051500,청운효자동,1111010500,창성동,30대,1538,153.8
36,종로구,1111051500,청운효자동,1111010500,창성동,40대,2072,207.2
37,종로구,1111051500,청운효자동,1111010500,창성동,50대,1905,190.5
38,종로구,1111051500,청운효자동,1111010500,창성동,60대,1405,140.5
39,종로구,1111051500,청운효자동,1111010500,창성동,70대 이상,1551,155.1
40,종로구,1111051500,청운효자동,1111010800,통인동,10대,1135,113.5
41,종로구,1111051500,청운효자동,1111010800,통인동,10대 미만,696,69.6
42,종로구,1111051500,청운효자동,1111010800,통인동,20대,1501,150.1
43,종로구,1111051500,청운효자동,1111010800,통인동,30대,1538,153.8
44,종로구,1111051500,청운효자동,1111010800,통인동,40대,2072,207.2
45,종로구,1111051500,청운효자동,1111010800,통인동,50대,1905,190.5
46,종로구,1111051500,청운효자동,1111010800,통인동,60대,1405,140.5
47,종로구,1111051500,청운효자동,1111010800,통인동,70대 이상,1551,155.1
48,종로구,1111051500,청운효자동,1111010900,누상동,10대,1135,113.5
49,종로구,1111051500,청운효자동,1111010900,누상동,10대 미만,696,69.6
50,종로구,1111051500,청운효자동,1111010900,누상동,20대,1501,150.1
51,종로구,1111051500,청운효자동,1111010900,누상동,30대,1538,153.8
52,종로구,1111051500,청운효자동,1111010900,누상동,40대,2072,207.2
53,종로구,1111051500,청운효자동,1111010900,누상동,50대,1905,190.5
54,종로구,1111051500,청운효자동,1111010900,누상동,60대,1405,140.5
55,종로구,1111051500,청운효자동,1111010900,누상동,70대 이상,1551,155.1
56,종로구,1111051500,청운효자동,1111011000,누하동,10대,1135,113.5
57,종로구,1111051500,청운효자동,1111011000,누하동,10대 미만,696,69.6
58,종로구,1111051500,청운효자동,1111011000,누하동,20대,1501,150.1
59,종로구,1111051500,청운효자동,1111011000,누하동,30대,1538,153.8
60,종로구,1111051500,청운효자동,1111011000,누하동,40대,2072,207.2
61,종로구,1111051500,청운효자동,1111011000,누하동,50대,1905,190.5
62,종로구,1111051500,청운효자동,1111011000,누하동,60대,1405,140.5
63,종로구,1111051500,청운효자동,1111011000,누하동,70대 이상,1551,155.1
64,종로구,1111051500,청운효자동,1111011100,옥인동,10대,1135,113.5
65,종로구,1111051500,청운효자동,1111011100,옥인동,10대 미만,696,69.6
66,종로구,1111051500,청운효자동,1111011100,옥인동,20대,1501,150.1
67,종로구,1111051500,청운효자동,1111011100,옥인동,30대,1538,153.8
68,종로구,1111051500,청운효자동,1111011100,옥인동,40대,2072,207.2
69,종로구,1111051500,청운효자동,1111011100,옥인동,50대,1905,190.5
70,종로구,1111051500,청운효자동,1111011100,옥인동,60대,1405,140.5
71,종로구,1111051500,청운효자동,1111011100,옥인동,70대 이상,1551,155.1
72,종로구,1111051500,청운효자동,1111011900,세종로,10대,1135,113.5
