,시군구명,법정동코드,법정동명,연령대,거주인구수/n
0,강남구,11680101,역삼동,10대,61758.0
1,강남구,11680101,역삼동,10대 미만,35640.0
2,강남구,11680101,역삼동,20대,67042.0
3,강남구,11680101,역삼동,30대,71482.0
4,강남구,11680101,역삼동,40대,90110.0
5,강남구,11680101,역삼동,50대,82468.0
6,강남구,11680101,역삼동,60대,56600.0
7,강남구,11680101,역삼동,70대 이상,45114.0
8,강남구,11680101,역삼동,10대,56650.0
9,강남구,11680101,역삼동,10대 미만,33468.0
10,강남구,11680101,역삼동,20대,73862.0
11,강남구,11680101,역삼동,30대,83558.0
12,강남구,11680101,역삼동,40대,105292.0
13,강남구,11680101,역삼동,50대,81888.0
14,강남구,11680101,역삼동,60대,66556.0
15,강남구,11680101,역삼동,70대 이상,54858.0
16,강남구,11680103,개포동,10대,61758.0
17,강남구,11680103,개포동,10대,15439.5
18,강남구,11680103,개포동,10대,10293.0
19,강남구,11680103,개포동,10대 미만,35640.0
20,강남구,11680103,개포동,10대 미만,8910.0
21,강남구,11680103,개포동,10대 미만,5940.0
22,강남구,11680103,개포동,20대,67042.0
23,강남구,11680103,개포동,20대,16760.5
24,강남구,11680103,개포동,20대,11173.666666666666
25,강남구,11680103,개포동,30대,71482.0
26,강남구,11680103,개포동,30대,17870.5
27,강남구,11680103,개포동,30대,11913.666666666666
28,강남구,11680103,개포동,40대,90110.0
29,강남구,11680103,개포동,40대,22527.5
30,강남구,11680103,개포동,40대,15018.333333333334
31,강남구,11680103,개포동,50대,82468.0
32,강남구,11680103,개포동,50대,20617.0
33,강남구,11680103,개포동,50대,13744.666666666666
34,강남구,11680103,개포동,60대,56600.0
35,강남구,11680103,개포동,60대,14150.0
36,강남구,11680103,개포동,60대,9433.333333333334
37,강남구,11680103,개포동,70대 이상,45114.0
38,강남구,11680103,개포동,70대 이상,11278.5
39,강남구,11680103,개포동,70대 이상,7519.0
40,강남구,11680103,개포동,10대,56650.0
41,강남구,11680103,개포동,10대,14162.5
42,강남구,11680103,개포동,10대,9441.666666666666
43,강남구,11680103,개포동,10대 미만,33468.0
44,강남구,11680103,개포동,10대 미만,8367.0
45,강남구,11680103,개포동,10대 미만,5578.0
46,강남구,11680103,개포동,20대,73862.0
47,강남구,11680103,개포동,20대,18465.5
48,강남구,11680103,개포동,20대,12310.333333333334
49,강남구,11680103,개포동,30대,83558.0
50,강남구,11680103,개포동,30대,20889.5
51,강남구,11680103,개포동,30대,13926.333333333334
52,강남구,11680103,개포동,40대,105292.0
53,강남구,11680103,개포동,40대,26323.0
54,강남구,11680103,개포동,40대,17548.666666666668
55,강남구,11680103,개포동,50대,81888.0
56,강남구,11680103,개포동,50대,20472.0
57,강남구,11680103,개포동,50대,13648.0
58,강남구,11680103,개포동,60대,66556.0
59,강남구,11680103,개포동,60대,16639.0
60,강남구,11680103,개포동,60대,11092.666666666666
61,강남구,11680103,개포동,70대 이상,54858.0
62,강남구,11680103,개포동,70대 이상,13714.5
63,강남구,11680103,개포동,70대 이상,9143.0
64,강남구,11680104,청담동,10대,30879.0
65,강남구,11680104,청담동,10대 미만,17820.0
66,강남구,11680104,청담동,20대,33521.0
67,강남구,11680104,청담동,30대,35741.0
68,강남구,11680104,청담동,40대,45055.0
69,강남구,11680104,청담동,50대,41234.0
70,강남구,11680104,청담동,60대,28300.0
71,강남구,11680104,청담동,70대 이상,22557.0
72,강남구,11680104,청담동,10대,28325.0
73,강남구,11680104,청담동,10대 미만,16734.0
74,강남구,11680104,청담동,20대,36931.0
75,강남구,11680104,청담동,30대,41779.0
76,강남구,11680104,청담동,40대,52646.0
77,강남구,11680104,청담동,50대,40944.0
78,강남구,11680104,청담동,60대,33278.0
79,강남구,11680104,청담동,70대 이상,27429.0
80,강남구,11680105,삼성동,10대,61758.0
81,강남구,11680105,삼성동,10대 미만,35640.0
82,강남구,11680105,삼성동,20대,67042.0
83,강남구,11680105,삼성동,30대,71482.0
84,강남구,11680105,삼성동,40대,90110.0
85,강남구,11680105,삼성동,50대,82468.0
86,강남구,11680105,삼성동,60대,56600.0
87,강남구,11680105,삼성동,70대 이상,45114.0
88,강남구,11680105,삼성동,10대,56650.0
89,강남구,11680105,삼성동,10대 미만,33468.0
90,강남구,11680105,삼성동,20대,73862.0
91,강남구,11680105,삼성동,30대,83558.0
92,강남구,11680105,삼성동,40대,105292.0
93,강남구,11680105,삼성동,50대,81888.0
94,강남구,11680105,삼성동,60대,66556.0
95,강남구,11680105,삼성동,70대 이상,54858.0
96,강남구,11680106,대치동,10대,92637.0
97,강남구,11680106,대치동,10대,10293.0
98,강남구,11680106,대치동,10대 미만,53460.0
99,강남구,11680106,대치동,10대 미만,5940.0
100,강남구,11680106,대치동,20대,100563.0
101,강남구,11680106,대치동,20대,11173.666666666666
102,강남구,11680106,대치동,30대,107223.0
103,강남구,11680106,대치동,30대,11913.666666666666
104,강남구,11680106,대치동,40대,135165.0
105,강남구,11680106,대치동,40대,15018.333333333334
106,강남구,11680106,대치동,50대,123702.0
107,강남구,11680106,대치동,50대,13744.666666666666
108,강남구,11680106,대치동,60대,84900.0
109,강남구,11680106,대치동,60대,9433.333333333334
110,강남구,11680106,대치동,70대 이상,67671.0
111,강남구,11680106,대치동,70대 이상,7519.0
112,강남구,11680106,대치동,10대,84975.0
113,강남구,11680106,대치동,10대,9441.666666666666
114,강남구,11680106,대치동,10대 미만,50202.0
115,강남구,11680106,대치동,10대 미만,5578.0
116,강남구,11680106,대치동,20대,110793.0
117,강남구,11680106,대치동,20대,12310.333333333334
118,강남구,11680106,대치동,30대,125337.0
119,강남구,11680106,대치동,30대,13926.333333333334
120,강남구,11680106,대치동,40대,157938.0
121,강남구,11680106,대치동,40대,17548.666666666668
122,강남구,11680106,대치동,50대,122832.0
123,강남구,11680106,대치동,50대,13648.0
124,강남구,11680106,대치동,60대,99834.0
125,강남구,11680106,대치동,60대,11092.666666666666
126,강남구,11680106,대치동,70대 이상,82287.0
127,강남구,11680106,대치동,70대 이상,9143.0
128,강남구,11680107,신사동,10대,30879.0
129,강남구,11680107,신사동,10대 미만,17820.0
130,강남구,11680107,신사동,20대,33521.0
131,강남구,11680107,신사동,30대,35741.0
132,강남구,11680107,신사동,40대,45055.0
133,강남구,11680107,신사동,50대,41234.0
134,강남구,11680107,신사동,60대,28300.0
135,강남구,11680107,신사동,70대 이상,22557.0
136,강남구,11680107,신사동,10대,28325.0
137,강남구,11680107,신사동,10대 미만,16734.0
138,강남구,11680107,신사동,20대,36931.0
139,강남구,11680107,신사동,30대,41779.0
140,강남구,11680107,신사동,40대,52646.0
141,강남구,11680107,신사동,50대,40944.0
142,강남구,11680107,신사동,60대,33278.0
143,강남구,11680107,신사동,70대 이상,27429.0
144,강남구,11680108,논현동,10대,61758.0
145,강남구,11680108,논현동,10대 미만,35640.0
146,강남구,11680108,논현동,20대,67042.0
147,강남구,11680108,논현동,30대,71482.0
148,강남구,11680108,논현동,40대,90110.0
149,강남구,11680108,논현동,50대,82468.0
150,강남구,11680108,논현동,60대,56600.0
151,강남구,11680108,논현동,70대 이상,45114.0
152,강남구,11680108,논현동,10대,56650.0
153,강남구,11680108,논현동,10대 미만,33468.0
154,강남구,11680108,논현동,20대,73862.0
155,강남구,11680108,논현동,30대,83558.0
156,강남구,11680108,논현동,40대,105292.0
157,강남구,11680108,논현동,50대,81888.0
158,강남구,11680108,논현동,60대,66556.0
159,강남구,11680108,논현동,70대 이상,54858.0
160,강남구,11680110,압구정동,10대,30879.0
161,강남구,11680110,압구정동,10대 미만,17820.0
162,강남구,11680110,압구정동,20대,33521.0
163,강남구,11680110,압구정동,30대,35741.0
164,강남구,11680110,압구정동,40대,45055.0
165,강남구,11680110,압구정동,50대,41234.0
166,강남구,11680110,압구정동,60대,28300.0
167,강남구,11680110,압구정동,70대 이상,22557.0
168,강남구,11680110,압구정동,10대,28325.0
169,강남구,11680110,압구정동,10대 미만,16734.0
170,강남구,11680110,압구정동,20대,36931.0
171,강남구,11680110,압구정동,30대,41779.0
172,강남구,11680110,압구정동,40대,52646.0
173,강남구,11680110,압구정동,50대,40944.0
174,강남구,11680110,압구정동,60대,33278.0
175,강남구,11680110,압구정동,70대 이상,27429.0
176,강남구,11680111,세곡동,10대,10293.0
177,강남구,11680111,세곡동,10대 미만,5940.0
178,강남구,11680111,세곡동,20대,11173.666666666666
179,강남구,11680111,세곡동,30대,11913.666666666666
180,강남구,11680111,세곡동,40대,15018.333333333334
181,강남구,11680111,세곡동,50대,13744.666666666666
182,강남구,11680111,세곡동,60대,9433.333333333334
183,강남구,11680111,세곡동,70대 이상,7519.0
184,강남구,11680111,세곡동,10대,9441.666666666666
185,강남구,11680111,세곡동,10대 미만,5578.0
186,강남구,11680111,세곡동,20대,12310.333333333334
187,강남구,11680111,세곡동,30대,13926.333333333334
188,강남구,11680111,세곡동,40대,17548.666666666668
189,강남구,11680111,세곡동,50대,13648.0
190,강남구,11680111,세곡동,60대,11092.666666666666
191,강남구,11680111,세곡동,70대 이상,9143.0
192,강남구,11680112,자곡동,10대,10293.0
193,강남구,11680112,자곡동,10대 미만,5940.0
194,강남구,11680112,자곡동,20대,11173.666666666666
195,강남구,11680112,자곡동,30대,11913.666666666666
196,강남구,11680112,자곡동,40대,15018.333333333334
197,강남구,11680112,자곡동,50대,13744.666666666666
198,강남구,11680112,자곡동,60대,9433.333333333334
199,강남구,11680112,자곡동,70대 이상,7519.0
200,강남구,11680112,자곡동,10대,9441.666666666666
201,강남구,11680112,자곡동,10대 미만,5578.0
202,강남구,11680112,자곡동,20대,12310.333333333334
203,강남구,11680112,자곡동,30대,13926.333333333334
204,강남구,11680112,자곡동,40대,17548.666666666668
205,강남구,11680112,자곡동,50대,13648.0
206,강남구,11680112,자곡동,60대,11092.666666666666
207,강남구,11680112,자곡동,70대 이상,9143.0
208,강남구,11680113,율현동,10대,10293.0
209,강남구,11680113,율현동,10대 미만,5940.0
210,강남구,11680113,율현동,20대,11173.666666666666
211,강남구,11680113,율현동,30대,11913.666666666666
212,강남구,11680113,율현동,40대,15018.333333333334
213,강남구,11680113,율현동,50대,13744.666666666666
214,강남구,11680113,율현동,60대,9433.333333333334
215,강남구,11680113,율현동,70대 이상,7519.0
216,강남구,11680113,율현동,10대,9441.666666666666
217,강남구,11680113,율현동,10대 미만,5578.0
218,강남구,11680113,율현동,20대,12310.333333333334
219,강남구,11680113,율현동,30대,13926.333333333334
220,강남구,11680113,율현동,40대,17548.666666666668
221,강남구,11680113,율현동,50대,13648.0
222,강남구,11680113,율현동,60대,11092.666666666666
223,강남구,11680113,율현동,70대 이상,9143.0
224,강남구,11680114,일원동,10대,46318.5
225,강남구,11680114,일원동,10대,10293.0
226,강남구,11680114,일원동,10대 미만,26730.0
227,강남구,11680114,일원동,10대 미만,5940.0
228,강남구,11680114,일원동,20대,50281.5
229,강남구,11680114,일원동,20대,11173.666666666666
230,강남구,11680114,일원동,30대,53611.5
231,강남구,11680114,일원동,30대,11913.666666666666
232,강남구,11680114,일원동,40대,67582.5
233,강남구,11680114,일원동,40대,15018.333333333334
234,강남구,11680114,일원동,50대,61851.0
235,강남구,11680114,일원동,50대,13744.666666666666
236,강남구,11680114,일원동,60대,42450.0
237,강남구,11680114,일원동,60대,9433.333333333334
238,강남구,11680114,일원동,70대 이상,33835.5
239,강남구,11680114,일원동,70대 이상,7519.0
240,강남구,11680114,일원동,10대,42487.5
241,강남구,11680114,일원동,10대,9441.666666666666
242,강남구,11680114,일원동,10대 미만,25101.0
243,강남구,11680114,일원동,10대 미만,5578.0
244,강남구,11680114,일원동,20대,55396.5
245,강남구,11680114,일원동,20대,12310.333333333334
246,강남구,11680114,일원동,30대,62668.5
247,강남구,11680114,일원동,30대,13926.333333333334
248,강남구,11680114,일원동,40대,78969.0
249,강남구,11680114,일원동,40대,17548.666666666668
250,강남구,11680114,일원동,50대,61416.0
251,강남구,11680114,일원동,50대,13648.0
252,강남구,11680114,일원동,60대,49917.0
253,강남구,11680114,일원동,60대,11092.666666666666
254,강남구,11680114,일원동,70대 이상,41143.5
255,강남구,11680114,일원동,70대 이상,9143.0
256,강남구,11680115,수서동,10대,30879.0
257,강남구,11680115,수서동,10대,30879.0
258,강남구,11680115,수서동,10대 미만,17820.0
259,강남구,11680115,수서동,10대 미만,17820.0
260,강남구,11680115,수서동,20대,33521.0
261,강남구,11680115,수서동,20대,33521.0
262,강남구,11680115,수서동,30대,35741.0
263,강남구,11680115,수서동,30대,35741.0
264,강남구,11680115,수서동,40대,45055.0
265,강남구,11680115,수서동,40대,45055.0
266,강남구,11680115,수서동,50대,41234.0
267,강남구,11680115,수서동,50대,41234.0
268,강남구,11680115,수서동,60대,28300.0
269,강남구,11680115,수서동,60대,28300.0
270,강남구,11680115,수서동,70대 이상,22557.0
271,강남구,11680115,수서동,70대 이상,22557.0
272,강남구,11680115,수서동,10대,28325.0
273,강남구,11680115,수서동,10대,28325.0
274,강남구,11680115,수서동,10대 미만,16734.0
275,강남구,11680115,수서동,10대 미만,16734.0
276,강남구,11680115,수서동,20대,36931.0
277,강남구,11680115,수서동,20대,36931.0
278,강남구,11680115,수서동,30대,41779.0
279,강남구,11680115,수서동,30대,41779.0
280,강남구,11680115,수서동,40대,52646.0
281,강남구,11680115,수서동,40대,52646.0
282,강남구,11680115,수서동,50대,40944.0
283,강남구,11680115,수서동,50대,40944.0
284,강남구,11680115,수서동,60대,33278.0
285,강남구,11680115,수서동,60대,33278.0
286,강남구,11680115,수서동,70대 이상,27429.0
287,강남구,11680115,수서동,70대 이상,27429.0
288,강남구,11680118,도곡동,10대,61758.0
289,강남구,11680118,도곡동,10대 미만,35640.0
290,강남구,11680118,도곡동,20대,67042.0
291,강남구,11680118,도곡동,30대,71482.0
292,강남구,11680118,도곡동,40대,90110.0
293,강남구,11680118,도곡동,50대,82468.0
294,강남구,11680118,도곡동,60대,56600.0
295,강남구,11680118,도곡동,70대 이상,45114.0
296,강남구,11680118,도곡동,10대,56650.0
297,강남구,11680118,도곡동,10대 미만,33468.0
298,강남구,11680118,도곡동,20대,73862.0
299,강남구,11680118,도곡동,30대,83558.0
300,강남구,11680118,도곡동,40대,105292.0
301,강남구,11680118,도곡동,50대,81888.0
302,강남구,11680118,도곡동,60대,66556.0
303,강남구,11680118,도곡동,70대 이상,54858.0
304,강동구,11740101,명일동,10대,41060.0
305,강동구,11740101,명일동,10대 미만,35460.0
306,강동구,11740101,명일동,20대,58822.0
307,강동구,11740101,명일동,30대,70082.0
308,강동구,11740101,명일동,40대,74746.0
309,강동구,11740101,명일동,50대,70426.0
310,강동구,11740101,명일동,60대,62904.0
311,강동구,11740101,명일동,70대 이상,40284.0
312,강동구,11740101,명일동,10대,36742.0
313,강동구,11740101,명일동,10대 미만,32728.0
314,강동구,11740101,명일동,20대,61604.0
315,강동구,11740101,명일동,30대,71606.0
316,강동구,11740101,명일동,40대,74920.0
317,강동구,11740101,명일동,50대,73010.0
318,강동구,11740101,명일동,60대,70798.0
319,강동구,11740101,명일동,70대 이상,49712.0
320,강동구,11740102,고덕동,10대,41060.0
321,강동구,11740102,고덕동,10대 미만,35460.0
322,강동구,11740102,고덕동,20대,58822.0
