,시군구명,법정동코드,법정동명,성별,연령대,생활인구수
0,강남구,1168010100,역삼동,남성,10대 ,5167.708130510752
1,강남구,1168010100,역삼동,남성,10대 미만,2768.522946236559
2,강남구,1168010100,역삼동,남성,20대 ,12725.947420698925
3,강남구,1168010100,역삼동,남성,30대 ,18905.066592069892
4,강남구,1168010100,역삼동,남성,40대 ,17101.11202016129
5,강남구,1168010100,역삼동,남성,50대 ,10254.754222446236
6,강남구,1168010100,역삼동,남성,60대 ,4678.730110080645
7,강남구,1168010100,역삼동,남성,70대 이상,3222.3682456989245
8,강남구,1168010100,역삼동,여성,10대 ,5499.370683870967
9,강남구,1168010100,역삼동,여성,10대 미만,2525.2425659946234
10,강남구,1168010100,역삼동,여성,20대 ,17321.582061290323
11,강남구,1168010100,역삼동,여성,30대 ,17258.878213844084
12,강남구,1168010100,역삼동,여성,40대 ,12611.376957392473
13,강남구,1168010100,역삼동,여성,50대 ,7342.14794704301
14,강남구,1168010100,역삼동,여성,60대 ,5057.57095860215
15,강남구,1168010100,역삼동,여성,70대 이상,4344.54295577957
16,강남구,1168010300,개포동,남성,10대 ,845.9448290546594
17,강남구,1168010300,개포동,남성,10대 미만,545.5592589829749
18,강남구,1168010300,개포동,남성,20대 ,716.5186479913381
19,강남구,1168010300,개포동,남성,30대 ,953.3323417264038
20,강남구,1168010300,개포동,남성,40대 ,1216.6439648670848
21,강남구,1168010300,개포동,남성,50대 ,1073.9474546893669
22,강남구,1168010300,개포동,남성,60대 ,719.0915845952808
23,강남구,1168010300,개포동,남성,70대 이상,535.9496206018518
24,강남구,1168010300,개포동,여성,10대 ,780.6147317204301
25,강남구,1168010300,개포동,여성,10대 미만,475.1571375224014
26,강남구,1168010300,개포동,여성,20대 ,708.3032090501792
27,강남구,1168010300,개포동,여성,30대 ,1057.7773225059736
28,강남구,1168010300,개포동,여성,40대 ,1305.434749955197
29,강남구,1168010300,개포동,여성,50대 ,1086.8656177344683
30,강남구,1168010300,개포동,여성,60대 ,927.6601806152927
31,강남구,1168010300,개포동,여성,70대 이상,841.0577090651135
32,강남구,1168010400,청담동,남성,10대 ,1468.6006784946237
33,강남구,1168010400,청담동,남성,10대 미만,1208.1006654569892
34,강남구,1168010400,청담동,남성,20대 ,2667.712274327957
35,강남구,1168010400,청담동,남성,30대 ,4326.0220918010755
36,강남구,1168010400,청담동,남성,40대 ,4374.558795430107
37,강남구,1168010400,청담동,남성,50대 ,3021.455006317204
38,강남구,1168010400,청담동,남성,60대 ,1856.4894450268819
39,강남구,1168010400,청담동,남성,70대 이상,1330.4011241935484
40,강남구,1168010400,청담동,여성,10대 ,1234.6255779569892
41,강남구,1168010400,청담동,여성,10대 미만,1019.4220931451613
42,강남구,1168010400,청담동,여성,20대 ,4507.924063037634
43,강남구,1168010400,청담동,여성,30대 ,5212.056327822581
44,강남구,1168010400,청담동,여성,40대 ,4153.81521922043
45,강남구,1168010400,청담동,여성,50대 ,3115.6267893817203
46,강남구,1168010400,청담동,여성,60대 ,2295.341929301075
47,강남구,1168010400,청담동,여성,70대 이상,2043.1999838709678
48,강남구,1168010500,삼성동,남성,10대 ,2807.9998456989247
49,강남구,1168010500,삼성동,남성,10대 미만,1834.7611190860216
50,강남구,1168010500,삼성동,남성,20대 ,4871.883177956989
51,강남구,1168010500,삼성동,남성,30대 ,8507.251012499999
52,강남구,1168010500,삼성동,남성,40대 ,8905.474073655914
53,강남구,1168010500,삼성동,남성,50대 ,5305.887594489247
54,강남구,1168010500,삼성동,남성,60대 ,2508.119089112903
55,강남구,1168010500,삼성동,남성,70대 이상,1792.5263315860213
56,강남구,1168010500,삼성동,여성,10대 ,2363.545335215054
57,강남구,1168010500,삼성동,여성,10대 미만,1685.7382069892474
58,강남구,1168010500,삼성동,여성,20대 ,6808.375803225806
59,강남구,1168010500,삼성동,여성,30대 ,8148.621290994623
60,강남구,1168010500,삼성동,여성,40대 ,7159.271055510752
61,강남구,1168010500,삼성동,여성,50대 ,4398.0406375
62,강남구,1168010500,삼성동,여성,60대 ,2969.3805805107527
63,강남구,1168010500,삼성동,여성,70대 이상,2771.8871005376345
64,강남구,1168010600,대치동,남성,10대 ,6978.058558870968
65,강남구,1168010600,대치동,남성,10대 미만,1933.3996163306454
66,강남구,1168010600,대치동,남성,20대 ,3319.1595100582435
67,강남구,1168010600,대치동,남성,30대 ,4101.753734632616
68,강남구,1168010600,대치동,남성,40대 ,5592.190245116487
69,강남구,1168010600,대치동,남성,50대 ,4108.03803734319
70,강남구,1168010600,대치동,남성,60대 ,2002.078074171147
71,강남구,1168010600,대치동,남성,70대 이상,1608.3085170922939
72,강남구,1168010600,대치동,여성,10대 ,5565.678727083334
73,강남구,1168010600,대치동,여성,10대 미만,1729.1085803091398
74,강남구,1168010600,대치동,여성,20대 ,3855.635551008065
75,강남구,1168010600,대치동,여성,30대 ,4064.278460506272
76,강남구,1168010600,대치동,여성,40대 ,6152.627475067205
