,시군구명,법정동코드,법정동명,연령별,법정동단위 거주인구
0,강남구,1168010100,역삼동,10대,7057.0
1,강남구,1168010100,역삼동,10대 미만,3389.0
2,강남구,1168010100,역삼동,20대,12245.0
3,강남구,1168010100,역삼동,30대,14967.0
4,강남구,1168010100,역삼동,40대,14947.0
5,강남구,1168010100,역삼동,50대,9770.0
6,강남구,1168010100,역삼동,60대,5706.0
7,강남구,1168010100,역삼동,70대 이상,4944.0
8,강남구,1168010300,개포동,10대,5303.666666666667
9,강남구,1168010300,개포동,10대 미만,3603.1666666666665
10,강남구,1168010300,개포동,20대,6277.166666666667
11,강남구,1168010300,개포동,30대,6737.0
12,강남구,1168010300,개포동,40대,8440.166666666666
13,강남구,1168010300,개포동,50대,8475.333333333334
14,강남구,1168010300,개포동,60대,6997.5
15,강남구,1168010300,개포동,70대 이상,4890.333333333333
16,강남구,1168010400,청담동,10대,2265.0
17,강남구,1168010400,청담동,10대 미만,1888.0
18,강남구,1168010400,청담동,20대,3480.0
19,강남구,1168010400,청담동,30대,3981.0
20,강남구,1168010400,청담동,40대,4566.0
21,강남구,1168010400,청담동,50대,4022.0
22,강남구,1168010400,청담동,60대,3005.0
23,강남구,1168010400,청담동,70대 이상,2469.0
24,강남구,1168010500,삼성동,10대,4873.0
25,강남구,1168010500,삼성동,10대 미만,3019.0
26,강남구,1168010500,삼성동,20대,5666.0
27,강남구,1168010500,삼성동,30대,6796.0
28,강남구,1168010500,삼성동,40대,8551.0
29,강남구,1168010500,삼성동,50대,6995.0
30,강남구,1168010500,삼성동,60대,4309.0
31,강남구,1168010500,삼성동,70대 이상,3977.0
32,강남구,1168010600,대치동,10대,14310.666666666666
33,강남구,1168010600,대치동,10대 미만,4753.666666666667
34,강남구,1168010600,대치동,20대,10672.666666666666
35,강남구,1168010600,대치동,30대,8693.0
36,강남구,1168010600,대치동,40대,17280.666666666668
37,강남구,1168010600,대치동,50대,14764.333333333334
38,강남구,1168010600,대치동,60대,9027.0
39,강남구,1168010600,대치동,70대 이상,6934.333333333333
40,강남구,1168010700,신사동,10대,2128.5
41,강남구,1168010700,신사동,10대 미만,1414.5
42,강남구,1168010700,신사동,20대,2517.5
43,강남구,1168010700,신사동,30대,2574.0
44,강남구,1168010700,신사동,40대,3584.0
45,강남구,1168010700,신사동,50대,3425.5
46,강남구,1168010700,신사동,60대,2529.0
47,강남구,1168010700,신사동,70대 이상,2933.0
48,강남구,1168010800,논현동,10대,2146.0
49,강남구,1168010800,논현동,10대 미만,1642.0
50,강남구,1168010800,논현동,20대,8068.0
51,강남구,1168010800,논현동,30대,9829.0
52,강남구,1168010800,논현동,40대,7657.0
53,강남구,1168010800,논현동,50대,5920.0
54,강남구,1168010800,논현동,60대,4430.0
55,강남구,1168010800,논현동,70대 이상,4124.0
56,강남구,1168011000,압구정동,10대,2128.5
57,강남구,1168011000,압구정동,10대 미만,1414.5
58,강남구,1168011000,압구정동,20대,2517.5
59,강남구,1168011000,압구정동,30대,2574.0
60,강남구,1168011000,압구정동,40대,3584.0
61,강남구,1168011000,압구정동,50대,3425.5
62,강남구,1168011000,압구정동,60대,2529.0
63,강남구,1168011000,압구정동,70대 이상,2933.0
64,강남구,1168011100,세곡동,10대,1615.0
65,강남구,1168011100,세곡동,10대 미만,1197.0
66,강남구,1168011100,세곡동,20대,1703.3333333333333
67,강남구,1168011100,세곡동,30대,2045.3333333333333
68,강남구,1168011100,세곡동,40대,2624.6666666666665
69,강남구,1168011100,세곡동,50대,2052.3333333333335
70,강남구,1168011100,세곡동,60대,1742.0
71,강남구,1168011100,세곡동,70대 이상,1466.6666666666667
72,강남구,1168011200,자곡동,10대,1615.0
73,강남구,1168011200,자곡동,10대 미만,1197.0
74,강남구,1168011200,자곡동,20대,1703.3333333333333
75,강남구,1168011200,자곡동,30대,2045.3333333333333
76,강남구,1168011200,자곡동,40대,2624.6666666666665
77,강남구,1168011200,자곡동,50대,2052.3333333333335
78,강남구,1168011200,자곡동,60대,1742.0
79,강남구,1168011200,자곡동,70대 이상,1466.6666666666667
80,강남구,1168011300,율현동,10대,1615.0
81,강남구,1168011300,율현동,10대 미만,1197.0
82,강남구,1168011300,율현동,20대,1703.3333333333333
83,강남구,1168011300,율현동,30대,2045.3333333333333
84,강남구,1168011300,율현동,40대,2624.6666666666665
85,강남구,1168011300,율현동,50대,2052.3333333333335
86,강남구,1168011300,율현동,60대,1742.0
87,강남구,1168011300,율현동,70대 이상,1466.6666666666667
88,강남구,1168011400,일원동,10대,4507.166666666667
