,시군구명,행정동코드,행정동명,연령별,행정동단위 거주인구
0,강남구,1168051000,신사동,10대,3120
1,강남구,1168051000,신사동,10대 미만,1730
2,강남구,1168051000,신사동,20대,4218
3,강남구,1168051000,신사동,30대,4314
4,강남구,1168051000,신사동,40대,5400
5,강남구,1168051000,신사동,50대,5152
6,강남구,1168051000,신사동,60대,3688
7,강남구,1168051000,신사동,70대 이상,4360
8,강남구,1168052100,논현1동,10대,847
9,강남구,1168052100,논현1동,10대 미만,639
10,강남구,1168052100,논현1동,20대,4657
11,강남구,1168052100,논현1동,30대,5593
12,강남구,1168052100,논현1동,40대,3855
13,강남구,1168052100,논현1동,50대,2883
14,강남구,1168052100,논현1동,60대,2201
15,강남구,1168052100,논현1동,70대 이상,1983
16,강남구,1168053100,논현2동,10대,1299
17,강남구,1168053100,논현2동,10대 미만,1003
18,강남구,1168053100,논현2동,20대,3411
19,강남구,1168053100,논현2동,30대,4236
20,강남구,1168053100,논현2동,40대,3802
21,강남구,1168053100,논현2동,50대,3037
22,강남구,1168053100,논현2동,60대,2229
23,강남구,1168053100,논현2동,70대 이상,2141
24,강남구,1168054500,압구정동,10대,5394
25,강남구,1168054500,압구정동,10대 미만,3928
26,강남구,1168054500,압구정동,20대,5852
27,강남구,1168054500,압구정동,30대,5982
28,강남구,1168054500,압구정동,40대,8936
29,강남구,1168054500,압구정동,50대,8550
30,강남구,1168054500,압구정동,60대,6428
31,강남구,1168054500,압구정동,70대 이상,7372
32,강남구,1168056500,청담동,10대,2265
33,강남구,1168056500,청담동,10대 미만,1888
34,강남구,1168056500,청담동,20대,3480
35,강남구,1168056500,청담동,30대,3981
36,강남구,1168056500,청담동,40대,4566
37,강남구,1168056500,청담동,50대,4022
38,강남구,1168056500,청담동,60대,3005
39,강남구,1168056500,청담동,70대 이상,2469
40,강남구,1168058000,삼성1동,10대,1230
41,강남구,1168058000,삼성1동,10대 미만,789
42,강남구,1168058000,삼성1동,20대,1721
43,강남구,1168058000,삼성1동,30대,1878
44,강남구,1168058000,삼성1동,40대,2135
45,강남구,1168058000,삼성1동,50대,2161
46,강남구,1168058000,삼성1동,60대,1666
47,강남구,1168058000,삼성1동,70대 이상,1414
48,강남구,1168059000,삼성2동,10대,3643
49,강남구,1168059000,삼성2동,10대 미만,2230
50,강남구,1168059000,삼성2동,20대,3945
51,강남구,1168059000,삼성2동,30대,4918
52,강남구,1168059000,삼성2동,40대,6416
53,강남구,1168059000,삼성2동,50대,4834
54,강남구,1168059000,삼성2동,60대,2643
55,강남구,1168059000,삼성2동,70대 이상,2563
56,강남구,1168060000,대치1동,10대,5290
57,강남구,1168060000,대치1동,10대 미만,1628
58,강남구,1168060000,대치1동,20대,2355
59,강남구,1168060000,대치1동,30대,1357
60,강남구,1168060000,대치1동,40대,5460
61,강남구,1168060000,대치1동,50대,4124
62,강남구,1168060000,대치1동,60대,2080
63,강남구,1168060000,대치1동,70대 이상,1652
64,강남구,1168061000,대치2동,10대,6114
65,강남구,1168061000,대치2동,10대 미만,2082
66,강남구,1168061000,대치2동,20대,4348
67,강남구,1168061000,대치2동,30대,3282
68,강남구,1168061000,대치2동,40대,6942
69,강남구,1168061000,대치2동,50대,6492
70,강남구,1168061000,대치2동,60대,4513
71,강남구,1168061000,대치2동,70대 이상,3129
72,강남구,1168063000,대치4동,10대,2342
73,강남구,1168063000,대치4동,10대 미만,647
74,강남구,1168063000,대치4동,20대,3366
75,강남구,1168063000,대치4동,30대,3238
76,강남구,1168063000,대치4동,40대,3864
77,강남구,1168063000,대치4동,50대,3286
78,강남구,1168063000,대치4동,60대,1577
79,강남구,1168063000,대치4동,70대 이상,1411
80,강남구,1168064000,역삼1동,10대,1407
81,강남구,1168064000,역삼1동,10대 미만,901
82,강남구,1168064000,역삼1동,20대,7688
83,강남구,1168064000,역삼1동,30대,10134
84,강남구,1168064000,역삼1동,40대,6335
85,강남구,1168064000,역삼1동,50대,4267
86,강남구,1168064000,역삼1동,60대,3045
87,강남구,1168064000,역삼1동,70대 이상,2377
