법정동명,법정동단위 거주인구,법정동 단위 생활인구수
역삼동,73025.0,4930053.059929167
개포동,50724.333333333336,1331159.919679861
청담동,25676.0,1339376.5335916667
삼성동,44186.0,2502722.9024791666
대치동,86436.33333333333,3759404.800440278
신사동,21106.0,1244247.1730916665
논현동,43816.0,2711270.9741083332
압구정동,21106.0,1244247.1730916665
세곡동,14446.333333333332,461225.1748180556
자곡동,14446.333333333332,461225.1748180556
율현동,14446.333333333332,461225.1748180556
일원동,39062.333333333336,1188316.0229340277
수서동,33758.0,1366597.3196416667
도곡동,54475.0,2015119.538075
명일동,43235.0,1322503.8979624999
고덕동,46580.0,1381816.0111958333
상일동,67346.5,2005041.6918270835
길동,45662.0,1705424.8477166668
둔촌동,24623.0,964561.7859625
암사동,67313.0,1687466.2526666666
성내동,67013.0,2286206.5958125
천호동,87135.0,3146646.5439083334
강일동,16588.5,782843.50616875
미아동,132848.0,3954090.8893208336
번동,51077.0,1376973.0956000001
수유동,106060.5,3111619.97331875
우이동,10260.5,291314.83225624997
염창동,20889.5,478853.82223333337
등촌동,75609.0,2436835.2993666665
화곡동,219277.0,5775417.616520833
가양동,67103.0,2014162.5331375
마곡동,48915.166666666664,1655676.4927368055
내발산동,33546.666666666664,868523.7112958333
외발산동,12151.666666666666,371131.66474166664
공항동,19535.0,520206.95861597225
방화동,54043.5,1436112.568807639
개화동,11759.5,393008.19358333334
과해동,5211.666666666666,190084.53492569443
오곡동,5211.666666666666,190084.53492569443
오쇠동,5211.666666666666,190084.53492569443
봉천동,228807.0,6306643.9287375
신림동,253766.0,7286513.127645833
남현동,18268.0,721704.5382958334
중곡동,82114.0,2245018.8186583333
능동,11645.0,493296.13325
구의동,79352.0,2379529.8147291667
광장동,34523.0,1099722.5149041666
자양동,96844.0,2919800.383041667
화양동,26870.0,1246108.3171416665
군자동,21448.0,605051.6166333333
신도림동,36280.0,1012903.5283833334
구로동,132506.0,4346827.604908333
가리봉동,12990.0,345120.3557125
고척동,49057.0,1223989.8679833333
개봉동,85895.0,2082231.0727291666
오류동,42388.0,1238258.10986875
궁동,11771.5,346071.2103979167
온수동,11771.5,346071.2103979167
천왕동,19409.0,779887.8750062501
가산동,26539.0,1820867.697075
독산동,111812.0,2479924.9507625
시흥동,106880.0,2367343.2798583335
월계동,77944.0,2099927.0315791667
공릉동,79822.0,2698339.0425791666
하계동,49119.0,1233033.3850958333
상계동,211182.5,6444661.6511125
중계동,94094.5,2704694.1588458335
쌍문동,75861.0,1983785.9331291667
방학동,75153.0,1694161.6610125
창동,118346.0,3379835.525316667
도봉동,47556.0,1160685.0262583334
신설동,17097.0,642287.6372916667
용두동,17097.0,642287.6372916667
제기동,26596.0,1017494.7845291666
전농동,48205.0,1488885.9376291668
답십리동,57534.0,1356755.7341041667
장안동,71373.0,1890983.1490749998
청량리동,19133.0,573181.875775
회기동,13162.0,645088.3586125
휘경동,41150.0,1157784.6515125
이문동,41396.0,1233365.83485
노량진동,27453.0,1113535.0035270834
상도동,104578.0,2573851.35675625
상도1동,22946.0,705979.7589395833
본동,16139.0,547884.5386812501
흑석동,33168.0,1035338.725175
동작동,14439.5,494621.8678354167
사당동,90880.5,2612918.5416520834
대방동,38081.0,1263595.9253208335
신대방동,47345.0,1272585.9254833334
아현동,17976.0,560325.6087125
공덕동,26878.0,741874.6033645833
신공덕동,9420.0,297117.079525
도화동,23665.5,715025.0474104166
용강동,3635.0,159502.89294375
토정동,3635.0,159502.89294375
마포동,14245.5,417907.96788541664
대흥동,13534.6,500711.10018625
염리동,21093.0,604260.4167833333
노고산동,14378.666666666668,968692.4207388889
신수동,9899.6,341208.2072425
현석동,4562.6,111061.91114666667
구수동,4562.6,111061.91114666667
