"행정구역(동읍면)별","5세별","항목","단위","2019.11 월",
"서울특별시","계","총인구수[명]","명","9732577",
"서울특별시","계","남자인구수[명]","명","4746636",
"서울특별시","계","여자인구수[명]","명","4985941",
"서울특별시","0 - 4세","총인구수[명]","명","302041",
"서울특별시","0 - 4세","남자인구수[명]","명","155294",
"서울특별시","0 - 4세","여자인구수[명]","명","146747",
"서울특별시","5 - 9세","총인구수[명]","명","362103",
"서울특별시","5 - 9세","남자인구수[명]","명","185733",
"서울특별시","5 - 9세","여자인구수[명]","명","176370",
"서울특별시","10 - 14세","총인구수[명]","명","370980",
"서울특별시","10 - 14세","남자인구수[명]","명","191045",
"서울특별시","10 - 14세","여자인구수[명]","명","179935",
"서울특별시","15 - 19세","총인구수[명]","명","451933",
"서울특별시","15 - 19세","남자인구수[명]","명","231954",
"서울특별시","15 - 19세","여자인구수[명]","명","219979",
"서울특별시","20 - 24세","총인구수[명]","명","643737",
"서울특별시","20 - 24세","남자인구수[명]","명","311953",
"서울특별시","20 - 24세","여자인구수[명]","명","331784",
"서울특별시","25 - 29세","총인구수[명]","명","813781",
"서울특별시","25 - 29세","남자인구수[명]","명","402320",
"서울특별시","25 - 29세","여자인구수[명]","명","411461",
"서울특별시","30 - 34세","총인구수[명]","명","724608",
"서울특별시","30 - 34세","남자인구수[명]","명","361515",
"서울특별시","30 - 34세","여자인구수[명]","명","363093",
"서울특별시","35 - 39세","총인구수[명]","명","788030",
"서울특별시","35 - 39세","남자인구수[명]","명","394792",
"서울특별시","35 - 39세","여자인구수[명]","명","393238",
"서울특별시","40 - 44세","총인구수[명]","명","725641",
"서울특별시","40 - 44세","남자인구수[명]","명","359276",
"서울특별시","40 - 44세","여자인구수[명]","명","366365",
"서울특별시","45 - 49세","총인구수[명]","명","835794",
"서울특별시","45 - 49세","남자인구수[명]","명","414570",
"서울특별시","45 - 49세","여자인구수[명]","명","421224",
"서울특별시","50 - 54세","총인구수[명]","명","777892",
"서울특별시","50 - 54세","남자인구수[명]","명","383644",
"서울특별시","50 - 54세","여자인구수[명]","명","394248",
"서울특별시","55 - 59세","총인구수[명]","명","766398",
"서울특별시","55 - 59세","남자인구수[명]","명","372800",
"서울특별시","55 - 59세","여자인구수[명]","명","393598",
"서울특별시","60 - 64세","총인구수[명]","명","696603",
"서울특별시","60 - 64세","남자인구수[명]","명","331170",
"서울특별시","60 - 64세","여자인구수[명]","명","365433",
"서울특별시","65 - 69세","총인구수[명]","명","487199",
"서울특별시","65 - 69세","남자인구수[명]","명","229011",
"서울특별시","65 - 69세","여자인구수[명]","명","258188",
"서울특별시","70 - 74세","총인구수[명]","명","387060",
"서울특별시","70 - 74세","남자인구수[명]","명","177727",
"서울특별시","70 - 74세","여자인구수[명]","명","209333",
"서울특별시","75 - 79세","총인구수[명]","명","295704",
"서울특별시","75 - 79세","남자인구수[명]","명","133634",
"서울특별시","75 - 79세","여자인구수[명]","명","162070",
"서울특별시","80 - 84세","총인구수[명]","명","177638",
"서울특별시","80 - 84세","남자인구수[명]","명","72134",
"서울특별시","80 - 84세","여자인구수[명]","명","105504",
"서울특별시","85 - 89세","총인구수[명]","명","79849",
"서울특별시","85 - 89세","남자인구수[명]","명","26125",
"서울특별시","85 - 89세","여자인구수[명]","명","53724",
"서울특별시","90 - 94세","총인구수[명]","명","30551",
"서울특별시","90 - 94세","남자인구수[명]","명","7949",
"서울특별시","90 - 94세","여자인구수[명]","명","22602",
"서울특별시","95 - 99세","총인구수[명]","명","8797",
"서울특별시","95 - 99세","남자인구수[명]","명","2400",
"서울특별시","95 - 99세","여자인구수[명]","명","6397",
"서울특별시","100+","총인구수[명]","명","6238",
"서울특별시","100+","남자인구수[명]","명","1590",
"서울특별시","100+","여자인구수[명]","명","4648",
"종로구","계","총인구수[명]","명","151457",
"종로구","계","남자인구수[명]","명","73811",
"종로구","계","여자인구수[명]","명","77646",
"종로구","0 - 4세","총인구수[명]","명","3573",
"종로구","0 - 4세","남자인구수[명]","명","1789",
"종로구","0 - 4세","여자인구수[명]","명","1784",
"종로구","5 - 9세","총인구수[명]","명","4649",
