,시군구명,법정동코드,법정동명,성별,연령대,생활인구수
0,강남구,1168010100,역삼동,남성,10대 ,4650.729116805555
1,강남구,1168010100,역삼동,남성,10대 미만,2415.797217361111
2,강남구,1168010100,역삼동,남성,20대 ,16127.192762638888
3,강남구,1168010100,역삼동,남성,30대 ,22808.826961388888
4,강남구,1168010100,역삼동,남성,40대 ,18946.02586486111
5,강남구,1168010100,역삼동,남성,50대 ,10696.035413194444
6,강남구,1168010100,역삼동,남성,60대 ,5453.721180555555
7,강남구,1168010100,역삼동,남성,70대 이상,4107.047222361111
8,강남구,1168010100,역삼동,여성,10대 ,5450.145349861111
9,강남구,1168010100,역삼동,여성,10대 미만,2355.0620305555553
10,강남구,1168010100,역삼동,여성,20대 ,22196.97603236111
11,강남구,1168010100,역삼동,여성,30대 ,20359.83727361111
12,강남구,1168010100,역삼동,여성,40대 ,13182.023891944445
13,강남구,1168010100,역삼동,여성,50대 ,8242.851267777778
14,강남구,1168010100,역삼동,여성,60대 ,6236.031626111111
15,강남구,1168010100,역삼동,여성,70대 이상,5754.774965833333
16,강남구,1168010300,개포동,남성,10대 ,770.0225117052469
17,강남구,1168010300,개포동,남성,10대 미만,474.5604979629629
18,강남구,1168010300,개포동,남성,20대 ,629.3589777314814
19,강남구,1168010300,개포동,남성,30대 ,934.823460933642
20,강남구,1168010300,개포동,남성,40대 ,1148.0660095833334
21,강남구,1168010300,개포동,남성,50대 ,1040.3419944753086
22,강남구,1168010300,개포동,남성,60대 ,787.1396576774691
23,강남구,1168010300,개포동,남성,70대 이상,613.5394148919753
24,강남구,1168010300,개포동,여성,10대 ,741.5798387962964
25,강남구,1168010300,개포동,여성,10대 미만,440.22005153549384
26,강남구,1168010300,개포동,여성,20대 ,685.5933792361111
27,강남구,1168010300,개포동,여성,30대 ,1001.677785787037
28,강남구,1168010300,개포동,여성,40대 ,1213.5834974074075
29,강남구,1168010300,개포동,여성,50대 ,1096.5834375925926
30,강남구,1168010300,개포동,여성,60대 ,1020.2500385648149
31,강남구,1168010300,개포동,여성,70대 이상,880.2624097067901
32,강남구,1168010400,청담동,남성,10대 ,1375.5461495833333
33,강남구,1168010400,청담동,남성,10대 미만,984.5213698611111
34,강남구,1168010400,청담동,남성,20대 ,2792.3086247222222
35,강남구,1168010400,청담동,남성,30대 ,4704.339769027778
36,강남구,1168010400,청담동,남성,40대 ,4346.925283055555
37,강남구,1168010400,청담동,남성,50대 ,2886.150278611111
38,강남구,1168010400,청담동,남성,60대 ,1993.0283730555557
39,강남구,1168010400,청담동,남성,70대 이상,1467.8547008333333
40,강남구,1168010400,청담동,여성,10대 ,1248.8126422222222
41,강남구,1168010400,청담동,여성,10대 미만,1021.5555058333333
42,강남구,1168010400,청담동,여성,20대 ,4862.103789722222
43,강남구,1168010400,청담동,여성,30대 ,5551.332416666667
44,강남구,1168010400,청담동,여성,40대 ,3896.31316
45,강남구,1168010400,청담동,여성,50대 ,3175.538706111111
46,강남구,1168010400,청담동,여성,60대 ,2526.541317638889
47,강남구,1168010400,청담동,여성,70대 이상,2260.266863055556
48,강남구,1168010500,삼성동,남성,10대 ,3047.659525833333
49,강남구,1168010500,삼성동,남성,10대 미만,1798.71516625
50,강남구,1168010500,삼성동,남성,20대 ,6545.704334166666
51,강남구,1168010500,삼성동,남성,30대 ,11344.27708763889
52,강남구,1168010500,삼성동,남성,40대 ,10604.600591805554
53,강남구,1168010500,삼성동,남성,50대 ,5856.675294583333
54,강남구,1168010500,삼성동,남성,60대 ,3265.040501388889
55,강남구,1168010500,삼성동,남성,70대 이상,2332.8332955555557
56,강남구,1168010500,삼성동,여성,10대 ,2676.9321330555554
